symbol,company_name,sector,series
CANBK,Canara Bank,Public Sector Bank,EQ
CANFINHOME,Can Fin Homes Limited,Housing Finance Company,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,EQ
CARBORUNIV,Carborundum Universal Limited,Abrasives & Bearings,EQ
CASTROLIND,Castrol India Limited,Lubricants,EQ
CCL,CCL Products (India) Limited,Tea & Coffee,EQ
CDSL,Central Depository Services (India) Limited,Depositories Clearing Houses and Other Intermediaries,EQ
CEATLTD,CEAT Limited,Tyres & Rubber Products,EQ
CENTRALBK,Central Bank of India,Public Sector Bank,EQ
CENTURYPLY,Century Plyboards (India) Limited,Plywood Boards/ Laminates,EQ
CERA,Cera Sanitaryware Limited,Sanitary Ware,EQ
CESC,CESC Limited,Integrated Power Utilities,EQ
CGCL,Capri Global Capital Limited,Non Banking Financial Company (NBFC),EQ
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,EQ
CHALET,Chalet Hotels Limited,Hotels & Resorts,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilizers,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries & Marketing,EQ
CHOICEIN,Choice International Limited,Holding Company,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Investment Company,EQ
CIPLA,Cipla Limited,Pharmaceuticals,EQ
CLEAN,Clean Science and Technology Limited,Specialty Chemicals,EQ
COALINDIA,Coal India Limited,Coal,EQ
COCHINSHIP,Cochin Shipyard Limited,Ship Building & Allied Services,EQ
COFORGE,Coforge Limited,Computers - Software & Consulting,EQ
COHANCE,Cohance Lifesciences Limited,Pharmaceuticals,EQ
COLPAL,Colgate Palmolive (India) Limited,Personal Care,EQ
CONCOR,Container Corporation of India Limited,Logistics Solution Provider,EQ
CONCORDBIO,Concord Biotech Limited,Pharmaceuticals,EQ
COROMANDEL,Coromandel International Limited,Fertilizers,EQ
CRAFTSMAN,Craftsman Automation Limited,Auto Components & Equipments,EQ
